S/N,Latitude,Longitude,Location,LGA,State,24hr,3day,7day
60,6.42809,3.11395,New Ikeja,Ikeja,Lagos,MODERATE,MODERATE,MODERATE
61,11.87478,8.77211,Fagge Market,Fagge,Kano,CRITICAL,MODERATE,CRITICAL
62,4.91297,7.21141,Okrika Layout,Okrika,Rivers,MODERATE,HIGH,MODERATE
63,11.08744,7.71774,Igabi Extension,Igabi,Kaduna,MODERATE,CRITICAL,LOW
64,5.9377,6.97569,Nnewi South GRA,Nnewi South,Anambra,MODERATE,MODERATE,HIGH
65,5.71241,5.90423,Central Ethiope West,Ethiope West,Delta,MODERATE,MODERATE,MODERATE
66,8.14246,4.08554,Ogbomosho South Village,Ogbomosho South,Oyo,MODERATE,HIGH,LOW
67,11.16989,13.96554,Kala Layout,Kala-Balge,Borno,MODERATE,MODERATE,LOW
68,6.30509,7.49861,Awgu Extension,Awgu,Enugu,HIGH,HIGH,LOW
69,10.05767,6.91221,Katcha GRA,Katcha,Niger,LOW,MODERATE,LOW
70,9.36559,9.0247,North Quan Pan,Quan Pan,Plateau,HIGH,MODERATE,MODERATE
71,6.0828,8.57935,Odukpani Camp,Odukpani,Cross River,MODERATE,MODERATE,HIGH
72,5.86578,7.45591,Ngor Okpala Layout,Ngor Okpala,Imo,MODERATE,MODERATE,MODERATE
73,10.14228,10.14567,Shira Extension,Shira,Bauchi,MODERATE,MODERATE,CRITICAL
74,7.7529,8.63938,Apa GRA,Apa,Benue,MODERATE,HIGH,HIGH
75,4.85392,7.38707,Outer Uyo,Uyo,Akwa Ibom,LOW,LOW,CRITICAL
76,9.03622,11.15593,Wukari Camp,Wukari,Taraba,CRITICAL,CRITICAL,CRITICAL
77,11.24738,4.17042,Yauri Layout,Yauri,Kebbi,LOW,HIGH,HIGH
78,13.45083,5.92829,Dange Extension,Dange-Shuni,Sokoto,CRITICAL,MODERATE,MODERATE
79,12.02291,5.84738,Bungudu GRA,Bungudu,Zamfara,HIGH,MODERATE,MODERATE
80,6.4312,3.46088,East Kosofe,Kosofe,Lagos,CRITICAL,HIGH,LOW
81,12.12208,8.54169,Kumbotso Junction,Kumbotso,Kano,MODERATE,LOW,MODERATE
82,4.85639,7.09972,Oyigbo Layout,Oyigbo,Rivers,CRITICAL,MODERATE,LOW
83,10.34632,7.56196,Sanga Extension,Sanga,Kaduna,LOW,MODERATE,LOW
84,6.08124,7.10651,Aguata GRA,Aguata,Anambra,MODERATE,HIGH,HIGH
85,5.53661,5.92222,Central Isoko North,Isoko North,Delta,HIGH,LOW,LOW
86,7.26375,3.68654,Akinyele Estate,Akinyele,Oyo,CRITICAL,MODERATE,MODERATE
87,11.70642,13.29387,Guzamala Layout,Guzamala,Borno,MODERATE,LOW,CRITICAL
88,6.04488,7.68847,Ezeagu Extension,Ezeagu,Enugu,HIGH,MODERATE,LOW
89,9.6903,6.35395,Edati GRA,Edati,Niger,MODERATE,LOW,HIGH
90,10.39676,8.46422,South Jos North,Jos North,Plateau,HIGH,CRITICAL,MODERATE
91,5.25624,9.44936,Calabar South Market,Calabar South,Cross River,HIGH,LOW,HIGH
92,5.66148,7.34959,Owerri West Layout,Owerri West,Imo,CRITICAL,MODERATE,MODERATE
93,11.07182,9.64484,Toro Extension,Toro,Bauchi,MODERATE,MODERATE,LOW
94,7.44362,8.80303,Vandeikya GRA,Vandeikya,Benue,MODERATE,MODERATE,MODERATE
95,4.50228,7.51091,South Etinan,Etinan,Akwa Ibom,MODERATE,MODERATE,CRITICAL
96,8.79344,11.09496,Lau Camp,Lau,Taraba,HIGH,MODERATE,CRITICAL
97,12.53149,4.60846,Gwandu Layout,Gwandu,Kebbi,CRITICAL,HIGH,MODERATE
98,12.82055,5.58186,Isa Extension,Isa,Sokoto,LOW,HIGH,MODERATE
99,13.27,5.87517,Maru GRA,Maru,Zamfara,LOW,HIGH,LOW
100,6.31566,3.40579,Old Ikorodu,Ikorodu,Lagos,MODERATE,LOW,CRITICAL
101,12.3999,8.56955,Bebeji District,Bebeji,Kano,CRITICAL,CRITICAL,HIGH
102,4.73652,6.93362,Ahoada East Layout,Ahoada East,Rivers,MODERATE,LOW,MODERATE
103,10.60346,7.51196,Ikara Extension,Ikara,Kaduna,CRITICAL,CRITICAL,HIGH
104,6.19275,7.01826,Anaocha GRA,Anaocha,Anambra,LOW,HIGH,HIGH
105,5.68726,5.81545,Inner Warri South,Warri South,Delta,CRITICAL,MODERATE,MODERATE
106,7.8096,4.44334,Ibadan South Town,Ibadan South-East,Oyo,HIGH,LOW,MODERATE
107,11.92473,12.47155,Konduga Layout,Konduga,Borno,CRITICAL,LOW,CRITICAL
108,6.69934,7.56916,Igbo Extension,Igbo-Eze North,Enugu,CRITICAL,CRITICAL,HIGH
109,9.1783,4.96005,Suleja GRA,Suleja,Niger,LOW,LOW,LOW
110,10.34512,9.30869,West Bassa,Bassa,Plateau,CRITICAL,HIGH,MODERATE
111,5.7039,8.58056,Etung Settlement,Etung,Cross River,LOW,CRITICAL,HIGH
112,5.48197,7.24195,Ideato North Layout,Ideato North,Imo,MODERATE,LOW,LOW
113,10.95982,9.59732,Kirfi Extension,Kirfi,Bauchi,CRITICAL,MODERATE,LOW
114,7.70646,8.46972,Tarka GRA,Tarka,Benue,LOW,HIGH,CRITICAL
115,4.80758,7.80708,Inner Mbo,Mbo,Akwa Ibom,CRITICAL,MODERATE,MODERATE
116,8.27726,11.08713,Zing Settlement,Zing,Taraba,LOW,HIGH,LOW
117,12.97045,3.93918,Shanga Layout,Shanga,Kebbi,HIGH,CRITICAL,MODERATE
118,12.99068,5.55637,Silame Extension,Silame,Sokoto,LOW,HIGH,CRITICAL
119,12.72459,6.40185,Bukkuyum GRA,Bukkuyum,Zamfara,LOW,MODERATE,MODERATE
120,6.45014,3.5799,Upper Ikeja,Ikeja,Lagos,CRITICAL,HIGH,MODERATE
121,12.29021,8.95151,Fagge Market,Fagge,Kano,LOW,LOW,HIGH
122,5.0811,7.32789,Okrika Layout,Okrika,Rivers,CRITICAL,HIGH,MODERATE
123,10.88531,7.75042,Igabi Extension,Igabi,Kaduna,MODERATE,HIGH,LOW
124,5.80844,6.9857,Nnewi South GRA,Nnewi South,Anambra,HIGH,HIGH,MODERATE
125,5.55369,5.60994,North Ethiope West,Ethiope West,Delta,CRITICAL,HIGH,MODERATE
126,7.30778,4.21398,Ogbomosho South Estate,Ogbomosho South,Oyo,HIGH,CRITICAL,MODERATE
127,12.46475,13.82148,Kala Layout,Kala-Balge,Borno,MODERATE,MODERATE,MODERATE
128,6.59534,7.77403,Awgu Extension,Awgu,Enugu,HIGH,MODERATE,LOW
129,10.68629,6.18676,Katcha GRA,Katcha,Niger,MODERATE,MODERATE,CRITICAL
130,9.00816,9.74932,Upper Quan Pan,Quan Pan,Plateau,HIGH,MODERATE,HIGH
131,5.24624,8.07709,Odukpani Village,Odukpani,Cross River,MODERATE,MODERATE,CRITICAL
132,5.84442,7.04581,Ngor Okpala Layout,Ngor Okpala,Imo,CRITICAL,HIGH,HIGH
133,10.42402,10.60507,Shira Extension,Shira,Bauchi,MODERATE,CRITICAL,MODERATE
134,7.86751,8.47077,Apa GRA,Apa,Benue,MODERATE,HIGH,HIGH
135,4.83971,7.97029,North Uyo,Uyo,Akwa Ibom,LOW,LOW,HIGH
136,7.93022,10.20705,Wukari Estate,Wukari,Taraba,MODERATE,MODERATE,LOW
137,11.94586,5.41345,Yauri Layout,Yauri,Kebbi,HIGH,HIGH,LOW
138,13.04366,4.7,Dange Extension,Dange-Shuni,Sokoto,HIGH,LOW,CRITICAL
139,12.51341,6.33761,Bungudu GRA,Bungudu,Zamfara,CRITICAL,HIGH,MODERATE
140,6.63662,3.60494,Old Kosofe,Kosofe,Lagos,MODERATE,MODERATE,MODERATE
141,12.33386,8.83213,Kumbotso Settlement,Kumbotso,Kano,MODERATE,HIGH,CRITICAL
142,4.83817,7.21349,Oyigbo Layout,Oyigbo,Rivers,CRITICAL,CRITICAL,MODERATE
143,10.58119,7.73417,Sanga Extension,Sanga,Kaduna,CRITICAL,MODERATE,MODERATE
144,5.93834,6.7483,Aguata GRA,Aguata,Anambra,MODERATE,MODERATE,MODERATE
145,5.6289,6.14415,Lower Isoko North,Isoko North,Delta,MODERATE,HIGH,LOW
146,7.88379,4.04588,Akinyele Village,Akinyele,Oyo,MODERATE,MODERATE,HIGH
147,13.26328,13.10217,Guzamala Layout,Guzamala,Borno,MODERATE,LOW,HIGH
148,6.31669,7.48377,Ezeagu Extension,Ezeagu,Enugu,LOW,HIGH,MODERATE
149,8.68502,5.27918,Edati GRA,Edati,Niger,MODERATE,HIGH,LOW
150,9.81842,9.61411,Inner Jos North,Jos North,Plateau,HIGH,MODERATE,HIGH
151,5.32684,8.39915,Calabar South Town,Calabar South,Cross River,LOW,HIGH,MODERATE
152,5.69844,6.90801,Owerri West Layout,Owerri West,Imo,HIGH,MODERATE,MODERATE
153,11.4547,10.61152,Toro Extension,Toro,Bauchi,MODERATE,LOW,MODERATE
154,7.74297,8.50383,Vandeikya GRA,Vandeikya,Benue,MODERATE,CRITICAL,MODERATE
155,4.95408,7.30865,Greater Etinan,Etinan,Akwa Ibom,LOW,LOW,MODERATE
156,7.2268,10.53667,Lau Estate,Lau,Taraba,HIGH,LOW,MODERATE
157,12.31224,5.17597,Gwandu Layout,Gwandu,Kebbi,LOW,LOW,MODERATE
158,13.60773,5.9462,Isa Extension,Isa,Sokoto,HIGH,CRITICAL,MODERATE
159,12.47435,6.65426,Maru GRA,Maru,Zamfara,MODERATE,HIGH,CRITICAL
160,6.58378,3.48612,Old Ikorodu,Ikorodu,Lagos,MODERATE,LOW,MODERATE
161,12.34068,8.41629,Bebeji Settlement,Bebeji,Kano,HIGH,LOW,HIGH
162,4.7422,7.237,Ahoada East Layout,Ahoada East,Rivers,MODERATE,LOW,MODERATE
163,10.86025,7.99032,Ikara Extension,Ikara,Kaduna,MODERATE,HIGH,MODERATE
164,6.17201,7.10876,Anaocha GRA,Anaocha,Anambra,MODERATE,LOW,MODERATE
165,5.43096,5.85412,North Warri South,Warri South,Delta,LOW,HIGH,HIGH
166,8.07333,4.13004,Ibadan South District,Ibadan South-East,Oyo,HIGH,HIGH,HIGH
167,10.46273,13.19288,Konduga Layout,Konduga,Borno,LOW,LOW,MODERATE
168,6.42929,7.35143,Igbo Extension,Igbo-Eze North,Enugu,HIGH,CRITICAL,HIGH
169,10.70236,5.30306,Suleja GRA,Suleja,Niger,MODERATE,LOW,HIGH
170,8.5218,8.63686,Outer Bassa,Bassa,Plateau,MODERATE,LOW,MODERATE
171,6.61892,8.94828,Etung Camp,Etung,Cross River,LOW,CRITICAL,LOW
172,5.52317,7.05966,Ideato North Layout,Ideato North,Imo,MODERATE,MODERATE,LOW
173,9.83783,10.83719,Kirfi Extension,Kirfi,Bauchi,CRITICAL,HIGH,HIGH
174,8.17055,9.07187,Tarka GRA,Tarka,Benue,LOW,MODERATE,MODERATE
175,5.00724,8.04583,Old Mbo,Mbo,Akwa Ibom,MODERATE,LOW,HIGH
176,8.09842,11.83948,Zing District,Zing,Taraba,MODERATE,MODERATE,LOW
177,12.94409,4.19682,Shanga Layout,Shanga,Kebbi,HIGH,LOW,CRITICAL
178,12.61706,4.20022,Silame Extension,Silame,Sokoto,MODERATE,MODERATE,LOW
179,11.80141,6.09082,Bukkuyum GRA,Bukkuyum,Zamfara,HIGH,MODERATE,HIGH
180,6.39327,3.37538,Central Ikeja,Ikeja,Lagos,CRITICAL,LOW,CRITICAL
181,11.83926,8.97959,Fagge Estate,Fagge,Kano,LOW,HIGH,HIGH
182,4.78975,6.99801,Okrika Layout,Okrika,Rivers,LOW,MODERATE,CRITICAL
183,10.24249,8.01562,Igabi Extension,Igabi,Kaduna,LOW,LOW,MODERATE
184,5.84761,7.11684,Nnewi South GRA,Nnewi South,Anambra,HIGH,CRITICAL,LOW
185,5.7596,5.70964,Upper Ethiope West,Ethiope West,Delta,HIGH,LOW,LOW
186,7.80862,4.07321,Ogbomosho South Village,Ogbomosho South,Oyo,HIGH,MODERATE,LOW
187,12.85291,14.04048,Kala Layout,Kala-Balge,Borno,CRITICAL,MODERATE,LOW
188,6.29248,7.69442,Awgu Extension,Awgu,Enugu,MODERATE,LOW,HIGH
189,10.58132,5.0365,Katcha GRA,Katcha,Niger,CRITICAL,CRITICAL,LOW
190,8.65161,9.28712,Inner Quan Pan,Quan Pan,Plateau,LOW,LOW,HIGH
191,5.42547,9.43491,Odukpani Community,Odukpani,Cross River,MODERATE,MODERATE,HIGH
192,5.85652,7.12364,Ngor Okpala Layout,Ngor Okpala,Imo,LOW,CRITICAL,MODERATE
193,10.95789,10.51178,Shira Extension,Shira,Bauchi,HIGH,CRITICAL,CRITICAL
194,7.34368,8.02052,Apa GRA,Apa,Benue,CRITICAL,LOW,MODERATE
195,5.17555,7.57201,Old Uyo,Uyo,Akwa Ibom,LOW,LOW,HIGH
196,8.66851,12.13446,Wukari Camp,Wukari,Taraba,CRITICAL,LOW,CRITICAL
197,12.10962,4.3519,Yauri Layout,Yauri,Kebbi,HIGH,HIGH,HIGH
198,13.53421,5.76177,Dange Extension,Dange-Shuni,Sokoto,MODERATE,CRITICAL,MODERATE
199,12.27891,6.78074,Bungudu GRA,Bungudu,Zamfara,LOW,HIGH,MODERATE
200,6.55734,3.51476,Lower Kosofe,Kosofe,Lagos,MODERATE,LOW,CRITICAL
201,12.15011,8.75687,Kumbotso Community,Kumbotso,Kano,HIGH,LOW,HIGH
202,4.72352,7.30432,Oyigbo Layout,Oyigbo,Rivers,MODERATE,MODERATE,LOW
203,10.99021,7.55553,Sanga Extension,Sanga,Kaduna,CRITICAL,MODERATE,HIGH
204,6.31727,7.1707,Aguata GRA,Aguata,Anambra,MODERATE,MODERATE,HIGH
205,5.41449,6.19192,East Isoko North,Isoko North,Delta,LOW,CRITICAL,LOW
206,8.1587,4.19394,Akinyele Community,Akinyele,Oyo,MODERATE,CRITICAL,HIGH
207,10.70628,13.96759,Guzamala Layout,Guzamala,Borno,MODERATE,LOW,MODERATE
208,6.41364,7.7395,Ezeagu Extension,Ezeagu,Enugu,LOW,HIGH,LOW
209,9.80759,4.8133,Edati GRA,Edati,Niger,CRITICAL,HIGH,LOW
210,9.70105,8.63975,Border Jos North,Jos North,Plateau,MODERATE,LOW,HIGH
211,6.05164,9.14825,Calabar South Village,Calabar South,Cross River,MODERATE,LOW,MODERATE
212,5.76204,7.4852,Owerri West Layout,Owerri West,Imo,CRITICAL,LOW,LOW
213,10.973,9.97088,Toro Extension,Toro,Bauchi,LOW,HIGH,HIGH
214,7.98165,8.81441,Vandeikya GRA,Vandeikya,Benue,HIGH,HIGH,MODERATE
215,4.83602,7.9588,Upper Etinan,Etinan,Akwa Ibom,MODERATE,CRITICAL,LOW
216,7.38041,11.78185,Lau Quarter,Lau,Taraba,HIGH,LOW,MODERATE
217,11.84005,6.02666,Gwandu Layout,Gwandu,Kebbi,MODERATE,LOW,LOW
218,12.91771,4.11533,Isa Extension,Isa,Sokoto,CRITICAL,LOW,HIGH
219,13.22914,6.04119,Maru GRA,Maru,Zamfara,LOW,HIGH,CRITICAL
220,6.57303,3.23527,North Ikorodu,Ikorodu,Lagos,MODERATE,HIGH,MODERATE
221,11.90653,8.34941,Bebeji Market,Bebeji,Kano,MODERATE,LOW,LOW
222,4.85801,6.90799,Ahoada East Layout,Ahoada East,Rivers,MODERATE,CRITICAL,MODERATE
223,10.92172,7.73136,Ikara Extension,Ikara,Kaduna,MODERATE,CRITICAL,HIGH
224,5.91387,7.15921,Anaocha GRA,Anaocha,Anambra,HIGH,MODERATE,CRITICAL
225,5.71297,5.718,Greater Warri South,Warri South,Delta,CRITICAL,CRITICAL,CRITICAL
226,7.43574,4.03785,Ibadan South Market,Ibadan South-East,Oyo,CRITICAL,LOW,LOW
227,11.16033,12.84392,Konduga Layout,Konduga,Borno,HIGH,MODERATE,LOW
228,6.33474,7.71345,Igbo Extension,Igbo-Eze North,Enugu,MODERATE,HIGH,LOW
229,10.53001,6.06975,Suleja GRA,Suleja,Niger,MODERATE,HIGH,LOW
230,10.01898,8.98209,East Bassa,Bassa,Plateau,CRITICAL,MODERATE,LOW
231,5.81202,8.54289,Etung Market,Etung,Cross River,LOW,LOW,MODERATE
232,5.63717,7.00965,Ideato North Layout,Ideato North,Imo,LOW,HIGH,MODERATE
233,10.3151,10.40534,Kirfi Extension,Kirfi,Bauchi,MODERATE,MODERATE,CRITICAL
234,7.23108,9.69041,Tarka GRA,Tarka,Benue,CRITICAL,MODERATE,MODERATE
235,4.99973,8.04148,Greater Mbo,Mbo,Akwa Ibom,LOW,MODERATE,MODERATE
236,7.25851,11.3766,Zing Quarter,Zing,Taraba,HIGH,MODERATE,HIGH
237,11.28055,5.62778,Shanga Layout,Shanga,Kebbi,LOW,MODERATE,MODERATE
238,13.58669,4.36637,Silame Extension,Silame,Sokoto,MODERATE,MODERATE,LOW
239,11.8008,5.82833,Bukkuyum GRA,Bukkuyum,Zamfara,HIGH,LOW,LOW
240,6.31172,3.42558,Central Ikeja,Ikeja,Lagos,LOW,LOW,LOW
241,11.82823,8.82866,Fagge Village,Fagge,Kano,HIGH,HIGH,LOW
242,4.7081,7.21923,Okrika Layout,Okrika,Rivers,MODERATE,MODERATE,HIGH
243,10.63731,7.68027,Igabi Extension,Igabi,Kaduna,HIGH,HIGH,HIGH
244,6.36254,7.07208,Nnewi South GRA,Nnewi South,Anambra,LOW,MODERATE,HIGH
245,5.64428,6.33911,Central Ethiope West,Ethiope West,Delta,LOW,CRITICAL,MODERATE
246,7.94054,4.03354,Ogbomosho South Community,Ogbomosho South,Oyo,HIGH,LOW,LOW
247,12.06956,14.10578,Kala Layout,Kala-Balge,Borno,LOW,HIGH,LOW
248,6.67488,7.44313,Awgu Extension,Awgu,Enugu,MODERATE,LOW,MODERATE
249,10.43848,4.83993,Katcha GRA,Katcha,Niger,HIGH,LOW,MODERATE
250,9.868,9.36952,Old Quan Pan,Quan Pan,Plateau,LOW,MODERATE,MODERATE
251,5.85215,8.97071,Odukpani Estate,Odukpani,Cross River,HIGH,MODERATE,LOW
252,5.42758,7.07795,Ngor Okpala Layout,Ngor Okpala,Imo,MODERATE,MODERATE,LOW
253,10.80319,9.44204,Shira Extension,Shira,Bauchi,MODERATE,MODERATE,LOW
254,8.21661,9.47438,Apa GRA,Apa,Benue,LOW,CRITICAL,HIGH
255,4.68661,7.81205,Inner Uyo,Uyo,Akwa Ibom,CRITICAL,HIGH,HIGH
256,7.62502,12.11945,Wukari Settlement,Wukari,Taraba,HIGH,LOW,CRITICAL
257,12.23892,5.17102,Yauri Layout,Yauri,Kebbi,LOW,MODERATE,LOW
258,13.54558,5.20407,Dange Extension,Dange-Shuni,Sokoto,HIGH,MODERATE,LOW
259,12.41595,6.24821,Bungudu GRA,Bungudu,Zamfara,HIGH,LOW,CRITICAL
260,6.6977,3.19533,Inner Kosofe,Kosofe,Lagos,MODERATE,CRITICAL,HIGH
261,11.89752,8.76397,Kumbotso Junction,Kumbotso,Kano,LOW,LOW,MODERATE
262,5.09139,6.99057,Oyigbo Layout,Oyigbo,Rivers,LOW,CRITICAL,CRITICAL
263,10.87447,8.12745,Sanga Extension,Sanga,Kaduna,MODERATE,LOW,LOW
264,5.87027,6.72543,Aguata GRA,Aguata,Anambra,MODERATE,MODERATE,CRITICAL
265,5.6288,6.03486,Inner Isoko North,Isoko North,Delta,LOW,MODERATE,MODERATE
266,7.46495,4.48503,Akinyele Estate,Akinyele,Oyo,LOW,MODERATE,MODERATE
267,13.76782,14.28323,Guzamala Layout,Guzamala,Borno,HIGH,HIGH,LOW
268,6.38753,7.46935,Ezeagu Extension,Ezeagu,Enugu,HIGH,LOW,LOW
269,10.32569,6.2766,Edati GRA,Edati,Niger,HIGH,MODERATE,CRITICAL
270,9.21689,8.95185,Greater Jos North,Jos North,Plateau,HIGH,MODERATE,LOW
271,6.19781,9.06848,Calabar South District,Calabar South,Cross River,HIGH,LOW,HIGH
272,5.66013,7.37147,Owerri West Layout,Owerri West,Imo,LOW,CRITICAL,LOW
273,11.01022,9.49677,Toro Extension,Toro,Bauchi,HIGH,LOW,HIGH
274,8.10884,9.29645,Vandeikya GRA,Vandeikya,Benue,LOW,LOW,HIGH
275,5.00175,7.70458,South Etinan,Etinan,Akwa Ibom,MODERATE,MODERATE,HIGH
276,9.21946,10.55683,Lau Market,Lau,Taraba,HIGH,LOW,MODERATE
277,12.90469,4.78521,Gwandu Layout,Gwandu,Kebbi,LOW,MODERATE,LOW
278,12.96873,5.59136,Isa Extension,Isa,Sokoto,LOW,HIGH,MODERATE
279,12.20959,7.26656,Maru GRA,Maru,Zamfara,LOW,LOW,HIGH
280,6.40132,3.27021,Lower Ikorodu,Ikorodu,Lagos,MODERATE,LOW,CRITICAL
281,12.03784,8.41547,Bebeji Town,Bebeji,Kano,MODERATE,HIGH,LOW
282,4.76234,7.08078,Ahoada East Layout,Ahoada East,Rivers,HIGH,MODERATE,LOW
283,10.556,8.10894,Ikara Extension,Ikara,Kaduna,MODERATE,CRITICAL,MODERATE
284,6.32265,6.91986,Anaocha GRA,Anaocha,Anambra,CRITICAL,HIGH,HIGH
285,5.3651,5.7319,New Warri South,Warri South,Delta,HIGH,MODERATE,HIGH
286,8.09782,4.12458,Ibadan South Quarter,Ibadan South-East,Oyo,MODERATE,HIGH,MODERATE
287,13.27701,12.57837,Konduga Layout,Konduga,Borno,LOW,MODERATE,HIGH
288,6.64714,7.75792,Igbo Extension,Igbo-Eze North,Enugu,HIGH,LOW,MODERATE
289,9.12315,6.91101,Suleja GRA,Suleja,Niger,MODERATE,MODERATE,HIGH
290,9.73853,9.08585,Upper Bassa,Bassa,Plateau,LOW,MODERATE,MODERATE
291,5.74269,8.07127,Etung Quarter,Etung,Cross River,LOW,MODERATE,LOW
292,5.46639,7.05354,Ideato North Layout,Ideato North,Imo,MODERATE,CRITICAL,LOW
293,11.3297,9.41719,Kirfi Extension,Kirfi,Bauchi,MODERATE,HIGH,HIGH
294,7.22551,8.61048,Tarka GRA,Tarka,Benue,MODERATE,LOW,LOW
